NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Hospital Papar,5.7311687,115.93201709999994,Hospital Papar,"Peti surat 6, 89600 Papar,Sabah",088-913333,088-913587,hospitalpapar@moh.gov.my,http://hpapar.moh.gov.my/,,,,,,,
Hospital Parit Buntar,5.131555,100.48352899999998,Hospital Parit Buntar,"Jalan Sempadan, Kampung Permatang Tok Mamat, 14300 Parit Buntar, Perak, Malaysia",605-7163333,605-7169675,hptar_aduan@prk.moh.gov.my,http://hptar.moh.gov.my,,,,,,,
Hospital Pasir Mas,6.073212,102.13142800000003,Hospital Pasir Mas,"Jalan Lati,17000 Pasir Mas Kelantan",609-793 2300,609-790 0996,-,http://hmas.moh.gov.my,,,,,,,
Hospital Pitas,6.7143937,117.04998590000002,Hospital Pitas,"Peti Surat 88, 89100 Pitas, Sabah",6088-676100,6088-676100,hpitas@moh.gov.my,http://hpitas.moh.gov.my,,,,,,,
Hospital Port Dickson,2.478423,101.85664199999997,Hospital Port Dickson,Hospital Port Dickson KM 11 Jln Pantai 71050 Sirusa Port Dickson Negeri Sembilan,606-662 6333,606-662 5003,hpd@ns.moh.gov.my,http://hpd.moh.gov.my/v1/,,,,,,,
Hospital Pulau Pinang,5.418937,100.31097799999998,Hospital Pulau Pinang,"Jalan Residensi, 10990 Pulau Pinang",604-2225333,604-2281737,ithpp@ppg.moh.gov.my,http://hpp.moh.gov.my/,,,,,,,
Hospital Putrajaya,2.92922,101.67435,Hospital Putrajaya,"Pusat Pentadbiran Kerajaan Persekutuan Presint 7, 62250 Putrajaya",03-83124200,03-88880137,"",www.hpj.gov.my,,,,,,,
Hospital Queen Elizabeth,5.957249,116.073078,Hospital Queen Elizabeth,"Hospital Queen Elizabeth, Karung Berkunci No. 2029, 88586 Kota Kinabalu, Sabah, MALAYSIA.",088-517555,088-211999,welly@sbh.moh.gov.my,http://qeh.moh.gov.my,,,,,,,
Hospital Queen Elizabeth II,5.968432,116.09296100000006,Hospital Queen Elizabeth II,"Lorong Bersatu, Off Jalan Damai Luyang 88300 Kota Kinabalu, Sabah",088-324600,088-272454,"",http://hqe2.moh.gov.my,,,,,,,
Hospital Raja Perempuan Zainab II,6.128401999999999,102.28537000000006,Hospital Raja Perempuan Zainab II,Hospital Raja Perempuan Zainab II 15586 Kota Bharu Kelantan,609-7452000,609-7486951,hrpz2@moh.gov.my,http://hrpz2.moh.gov.my,,,,,,,
Hospital Raja Permaisuri Bainun,4.60218,101.09677099999999,Hospital Raja Permaisuri Bainun,"Jalan Hospital, 30990 Ipoh, Perak.",605-2085000,605-2531541,hrpb_aduan@moh.gov.my,http://hrpb.moh.gov.my/,,,,,,,
Hospital Ranau,5.9542505,116.67037370000003,Hospital Ranau,"Pekan Ranau, 89300 Ranau, Sabah, Malaysia",6088-875266,6088-875223,pengarah.ranau@sbh.moh.gov.my,http://hranau.moh.gov.my/,,,,,,,
Hospital Sarikei,1.412129,111.52932299999998,Hospital Sarikei,"Jalan Rentap 96100 Sarikei, Sarawak",6084-653333,6084-653409,hsarikei@moh.gov.my,http://hsarikei.moh.gov.my,,,,,,,
Hospital Seberang Jaya,5.394409,100.40722600000004,Hospital Seberang Jaya,"Hospital Sebarang Jaya,Jalan Tun Hussein Onn, 13700 Seberang Jaya, Pulau Pinang",604-3827333,604-3970754,hsj_png@ppg.moh.gov.my,http://hsbjy.moh.gov.my,,,,,,,
Hospital Segamat,2.4909228,102.86029099999996,Hospital Segamat,"KM 6, Jalan Genuang, 85000 Segamat , Johor",607-943 3333,607-943 4641,hospsg@moh.gov.my,http://hsgm.moh.gov.my/,,,,,,,
Hospital Selama,5.2131066,100.68894560000001,Hospital Selama,"Jalan Aman Shah, 34100 Selama, Perak, Malaysia",05-839 4233,605-8394204,hosp_selama@prk.moh.gov.my,-,,,,,,,
Hospital Selayang,3.2437717,101.6477787,Hospital Selayang,"Lebuhraya Selayang-Kepong, 68100 Batu Caves, Selangor Darul Ehsan.",603-61203233,603-61377097,razlan@selayanghospital.gov.my,http://hselayang.moh.gov.my/,,,,,,,
Hospital Semporna,4.4822,118.60506399999997,Hospital Semporna,"Peti Surat 80, 97307 Semporna, Sabah, Malaysia",089-781522,089-781659,hspn@moh.gov.my,http://hspn.moh.gov.my/,,,,,,,
Hospital Serdang,2.978881,101.73346800000002,Hospital Serdang,"Jalan Puchong, 43000 Kajang, Selangor Darul Ehsan.",603-8947 5555,603-8947 5050,"",http://hserdang.moh.gov.my,,,,,,,
Hospital Seri Manjung,4.185417999999999,100.66197999999997,Hospital Seri Manjung,Hospital Seri Manjung 32040 Seri Manjung Perak,05-6896600,05-6884013,hsmanjung@prk.moh.gov.my,http://hsmanjung.moh.gov.my,,,,,,,
Hospital Setiu,5.514226,102.76944300000002,Hospital Setiu,"Bandar Permaisuri, 22100 Setiu Terengganu.",609-6090333,609-6090377,tanya_hsetiu@trg.moh.gov.my,http://hsetiu.moh.gov.my,,,,,,,
Hospital Sibu,2.296142,111.92143099999998,Hospital Sibu,"Batu 5 1/2, Jalan Ulu Oya, 96000 Sibu, Sarawak.",6084-343 333,6084-337 354,hsibu@moh.gov.my,http://hsibu.moh.gov.my,,,,,,,
Hospital Sik,5.811192999999999,100.72827200000006,Hospital Sik,"Jalan Hospital, 08200 Sik,Kedah, Malaysia",604-4695333,604-4695990,hsik@kdh.moh.gov.my,http://hsik.moh.gov.my/,,,,,,,
Hospital Sipitang,5.0980186,115.56209560000002,Hospital Sipitang,"Peti surat 250,89857 Sipitang, Sabah",087-822296,087-822304,Pengarah.spitang@moh.gov.my,http://hsipitang.moh.gov.my/,,,,,,,
Hospital Slim River,3.837452,101.404313,Hospital Slim River,"35800 Slim River , Perak Darul Ridzuan.",05-4526333,605-4526697,h_sriver@prk.moh.gov.my,http://hsr.moh.gov.my/,,,,,,,
Hospital Sri Aman,1.234459,111.46263299999998,Hospital Sri Aman,Jalan Hospital 95000 Sri Aman Sarawak,6083-322151,6083- 323063,"",http://hsa.moh.gov.my,,,,,,,
Hospital Sultan Abdul Halim,5.670654,100.51106900000002,Hospital Sultan Abdul Halim,"Jalan Lencongan Timur, Bandar Aman Jaya, 08000 Sg. Petani, Kedah, Malaysia.",604 445 7333,604 448 0092,hsah@moh.gov.my,http://hsah.moh.gov.my,,,,,,,
Hospital Sultan Haji Ahmad Shah,3.453159,102.42448990000003,Hospital Sultan Haji Ahmad Shah,"Jalan Maran, 28000 Temerloh Pahang Darul Makmur",6092955333,6092972468,"",http://hoshas.moh.gov.my,,,,,,,
Hospital Sultan Ismail,1.546736,103.79105099999992,Hospital Sultan Ismail,"Jalan Persiaran Mutiara Emas Utama, Taman Mount Austin, 81100 Johor Bahru, Johor Darul Ta’zim",07 – 3565000,07 – 3565034,sapurah@hsi.gov.my,http://hsi.moh.gov.my/,,,,,,,
Hospital Sultanah Aminah,1.45833,103.74617,Hospital Sultanah Aminah,Jalan Persiaran Abu Bakar Sultan.80100 Johor Bahru,607-2257000,607-2242694,publichsajb@johr.moh.gov.my,http://hsajb.moh.gov.my/,,,,,,,
Hospital Sultanah Bahiyah,6.1504182,100.40640020000001,Hospital Sultanah Bahiyah,"Km 6, Jln Langgar, 05460 Alor Setar, Kedah Darul Aman",604-7406233,04-7350232/7350233,hsb@moh.gov.my,http://hsbas.moh.gov.my,,,,,,,
Hospital Sultanah Nora Ismail,1.837741,102.93888900000002,Hospital Sultanah Nora Ismail,"Jalan Korma 83000 Batu Pahat, Johor",07-4363000,07-4322544,hospbp@moh.gov.my,http://hsni.moh.gov.my,,,,,,,
Hospital Sultanah Nur Zahirah,5.324890000000001,103.15084999999999,Hospital Sultanah Nur Zahirah,"Jalan Sultan Mahmud, 20400 Kuala Terengganu, Terengganu Darul Iman.",609-6212121,609-6221820,tanya_hsnzkt@moh.gov.my,http://hsnzkt.moh.gov.my/h1/,,,,,,,
Hospital Sungai Bakap,5.209137999999999,100.49842910000007,Hospital Sungai Bakap,14200 Sungai Jawi Seberang Perai Selatan Pulau Pinang,604-582 4333,604-582 2494,hsbakap@moh.gov.my,http://hsbakap.moh.gov.my,,,,,,,
Hospital Sungai Buloh,3.221731,101.584042,Hospital Sungai Buloh,"Jalan Hospital, 47000 Sungai Buloh Selangor Darul Ehsan",603-61454333,603-61454222,-,http://hsgbuloh.moh.gov.my/ms/,,,,,,,
Hospital Sungai Siput,4.827984,101.05706499999997,Hospital Sungai Siput,Jalan Felda Lasah 31100 Sungai Siput (U) Perak Darul Ridzuan,05-5983333/ 05-5983334/ 05-5983335,05-5971834,hsgsiput@moh.gov.my,http://hsgsiput.moh.gov.my,,,,,,,
Hospital Taiping,4.851101900000001,100.73700170000006,Hospital Taiping,Hospital Taiping Jalan Tamingsari 34000 Taiping Perak,605 - 820 4000,605- 807 3894,hosptaiping_adu@prk.moh.gov.my,http://htaiping.moh.gov.my/,,,,,,,
Hospital Tambunan,5.6931992,116.38177870000004,Hospital Tambunan,"Peti Surat 10, 89650 Tambunan, Sabah, Malaysia",087-774333,087-774102,pengarah.tambunan@moh.gov.my,http://htbn.moh.gov.my/,,,,,,,
Hospital Tampin,2.471327,102.22834999999998,Hospital Tampin,"Hospital Tampin, Jalan Haji Ahmad Zainuddin, 73009 Tampin, Negeri Sembilan Darul Khusus",606-441 1511,606-441 9610,htampin@ns.moh.gov.my,http://htampin.moh.gov.my/,,,,,,,
Hospital Tanah Merah,5.816514,102.153425,Hospital Tanah Merah,"Hospital Tanah Merah 17500 Tanah Merah, Kelantan Darul Aman.",609-954 5000,609-955 7929,htm@klt.moh.gov.my,hmerah.moh.gov.my,,,,,,,
Hospital Tanjung Karang,3.426129,101.178756,Hospital Tanjung Karang,"Hospital Tanjung Karang, 45500 Tanjung Karang, Selangor Darul Ehsan.",603-3269 8333,603-3269 5907,-,http://htgkarang.moh.gov.my/,,,,,,,
Hospital Tapah,4.201087,101.26042099999995,Hospital Tapah,"Hospital Tapah, Jalan Temoh, 35000 Tapah, Perak Darul Ridzuan.",605-4011333,605-4012863,aduantph@moh.gov.my,http://htapah.moh.gov.my/,,,,,,,
Hospital Tawau,4.249332,117.879181,Hospital Tawau,"Hospital Tawau Peti Surat 67, 91007 Tawau, Sabah.",6089-773533,6089-778626,pengarah.tawau@sbh.moh.gov.my,http://htwu.moh.gov.my/v3/,,,,,,,
Hospital Teluk Intan,3.99322,101.05497400000002,Hospital Teluk Intan,"Hospital Teluk Intan, Jalan Changkat Jong, 36000 Teluk Intan, Perak, Malaysia.",605-6298400,605-6212415,aduanhti@moh.gov.my,http://htintan.moh.gov.my/,,,,,,,
Hospital Tengku Ampuan Afzan,3.8008605,103.32173820000003,Hospital Tengku Ampuan Afzan,"Hospital Tengku Ampuan Afzan, Jalan Tanah Putih, 25100 Kuantan, Pahang, Malaysia.",609-513 3333,609-514 2712,htaa@phg.moh.gov.my,http://htaa.moh.gov.my/j25/,,,,,,,
Hospital Tengku Ampuan Jemaah,3.731697,100.93837099999996,Hospital Tengku Ampuan Jemaah,Hospital Tengku Ampuan Jemaah 45200 Sabak Bernam Selangor Darul Ehsan Malaysia,03 3216 3333,03 3216 4333,"",http://htaj.moh.gov.my/,,,,,,,
Hospital Tengku Ampuan Rahimah,3.019584,101.44022199999995,Tengku Ampuan Rahimah Hospital,"Hospital Besar Tengku Ampuan Rahimah, Jalan Langat, 41200 Klang, Selangor",603-3375 7000,603-3372 9089,"",http://htar.moh.gov.my/,,,,,,,
Hospital Tenom,4.987223,115.92408309999996,Hospital Tenom,"Peti Surat 97, 89907 Tenom",087 735577,087 735550,-,http://htenom.moh.gov.my/,,,,,,,
Hospital Tuanku Ampuan Najihah,2.7347,102.23254999999995,Hospital Tuanku Ampuan Najihah,"Hospital Tuanku Ampuan Najihah Kampung Gemelang, 72000 Kuala Pilah, Negeri Sembilan, Malaysia",606-4818002,606-4818010,-,http://htan.moh.gov.my,,,,,,,
Hospital Tuanku Fauziah,6.440906,100.19138900000007,Hospital Tuanku Fauziah,"Hospital Tuanku Fauziah Jalan Kolam, 01000, Kangar Perlis, Malaysia",604-973 8000,604-976 7237,htfps@moh.gov.my,http://htf.moh.gov.my/,,,,,,,
Hospital Tuanku Jaafar Seremban,2.709695,101.94445,Hospital Tuanku Jaafar Seremban,"Hospital Tuanku Ja'afar Jalan Rasah, 70300 Seremban, Negeri Sembilan, Malaysia",606- 768 4000,606- 762 5771,htjs@ns.moh.gov.my,http://htjs.moh.gov.my/V2/,,,,,,,
Hospital Tuaran,,,Hospital Tuaran,Hospital Tuaran Peti Surat 996 89207 Tuaran Sabah,088-788244,088-788 176,"",http://htuaran.moh.gov.my,,,,,,,
Hospital Tumpat,6.18975,102.15780700000005,Hospital Tumpat,"Hospital Tumpat, Jalan Kelaboran, 16200 Tumpat, Kelantan Darul Naim",609 - 726 3000,609 - 725 7082,hostumpat@klt.moh.gov.my,http://htumpat.moh.gov.my/,,,,,,,
Hospital Tunku Ampuan Jemaah,3.761189,100.98974399999997,Hospital Tunku Ampuan Jemaah,45200 Sabak Bernam Selangor Darul Ehsan Malaysia,03 3216 3333,03 3216 3333,"",http://htaj.moh.gov.my/web/,,,,,,,
Hospital Umum Sarawak,1.5425869,110.33907320000003,Hospital Umum Sarawak,"Sarawak General Hospital, Jalan Hospital, 93586 Kuching Sarawak",6082-276666,6082- 242751,sgh@moh.gov.my,http://hus.moh.gov.my,,,,,,,
Hospital Universiti Sains Malaysia,6.132042,102.31053900000006,Hospital Universiti Sains Malaysia,Universiti Sains Malaysia Kampus Kesihatan Jalan Raja Perempuan Zainab 2 16150 Kota Bharu Kelantan.,09-767 3031,09-767 3030,prohusm @ kk.usm.my,http://h.usm.my/,,,,,,,
Hospital Wanita dan Kanak-Kanak Sabah,5.976474,116.11577699999998,Hospital Wanita dan Kanak-Kanak Sabah,"Karung Berkunci 187, 88996 Kota Kinabalu, Sabah.",6088-522600,6088-438512,hwkks@moh.gov.my,http://hwkks.moh.gov.my/,,,,,,,
Hospital Yan,5.819547,100.38378399999999,Hospital Yan,"Kampung Sungai Udang, 06900 Yan, Kedah, Malaysia",04-4655333,04-4655960,hyan@kdh.moh.gov.my,http://hyan.moh.gov.my/,,,,,,,
ICU PENANG,,,"","PEJABAT PEMBANGUNAN PERSEKUTUAN PULAU PINANG,TINGKAT 9,11 & 15, MENARA BOUSTEAD, 39, JALAN SULTAN AHMAD SHAH 10050 GEORGETOWN",604-2185700,604-2105733,adminppg@ppg.icu.gov.my,www.ppg.icu.gov.my,,,,,,,
Indah Water Konsortium (IWK),,,"","Level 1-4 Block J Pusat Bandar Damansara, 50490 Kuala Lumpur, Malaysia",+603 2080 3130,+603-2095 6002,care@iwk.com.my,www.iwk.com.my,,,,,,,
Institusi Latihan Kementerian Kesihatan Malaysia,,,"","Bahagian Pengurusan Latihan, Aras 6,No.26 Persiaran Perdana, Presint 3 Pusat Pentadbiran Kerajaan Persekutuan 62675 Putrajaya",603-8885 0600,603-8885 0748,"",http://latihan.moh.gov.my/,,,,,,,
Institut Akauntan Malaysia,3.135776,101.690767,Institut Akauntan Malaysia,"Dewan Akauntan, No.2 Jalan Tun Sambanthan 3, Brickfields,50470 Kuala Lumpur, Malaysia.",603-2279 9200,603-2274 1783,mia@mia.org.my; info.asist@mia.org.my,www.mia.org.my,,,,,,,
Institut Aminuddin Baki,3.422017,101.789174,Institut Aminuddin Baki,Kementerian Pelajaran Malaysia Sri Layang 69000 Genting Highlands Pahang Darul Makmur,03-6105 6100,03-6105 6299,iab@iab.edu.my,http://www.iab.edu.my/,,,,,,,
Institut Darul Ridzuan,,,"","B-1-9, Greentown Suria, Jalan Dato' Seri Ahmad Said, 30450 Ipoh, Malaysia",05-2412670,05-2412671,-,http://idrperak.my/,,,,,,,
Institut Diplomasi dan Hubungan Luar Negeri (IDFR),3.133456,101.702947,Institut Diplomasi dan Hubungan Luar Negeri (IDFR),"Institut Diplomasi dan Hubungan Luar Negeri (IDFR) Kementerian Luar Negeri Jalan Wisma Putra, 50460 Kuala Lumpur.",603-21491000,603-21445640,info@idfr.gov.my,http://www.idfr.gov.my,https://www.facebook.com/pages/Institute-of-Diplomacy-and-Foreign-Relations-IDFR/176537619063992?fref=ts,,,,,http://www.idfr.gov.my/index.php?option=com_content&view=article&id=462&Itemid=418&lang=en,
Institut Farmaseutikal Dan Nutraseutikal Malaysia,5.357113,100.292697,Institut Farmaseutikal Dan Nutraseutikal Malaysia,"Bangunan Pentadbiran, Institut Farmaseutikal & Nutraseutikal Malaysia, Kementerian Sains, Teknologi dan Inovasi Blok 5-A, Halaman Bukit Gambir, 11700, Pulau Pinang.",04-6521200,04-6563020,admin@ipharm.gov.my,http://www.ipharm.gov.my/,,,,,,,
Institut Genome Malaysia (GENOM),2.904125,101.767473,Institut Genom Malaysia (GENOM),"Malaysia Genome Institute,43600 Bangi Selangor, Malaysia",603-8926 7446,603-8926 7972,contact@genomemalaysia.gov.my,http://www.genomemalaysia.gov.my/,,,,,,,
Institut Integriti Malaysia,3.168412,101.673294,Institut Integriti Malaysia,Menara Integriti Persiaran Duta off Jalan Duta 50480 Kuala Lumpur,603-6209 2000,603 6203 1005,integriti@iim.com.my,http://www.iim.org.my,,,,,,,
Institut Kajian Pembangunan (Sabah),5.976474,116.11577699999998,Institut Kajian Pembangunan (Sabah),"Lot 2-5 Wisma SEDIA Off Jalan Pintas, Penampang Locked Bag 127 88994 Kota Kinabalu, SABAH",+60 (88)-450 500,+60 (88)-450 599,info@ids.org.my,http://www.ids.org.my,,,,,,,
Institut Kajian Sejarah dan Patriotisme Malaysia (IKSEP),2.238132,102.260132,Institut Kajian Sejarah dan Patriotisme Malaysia (IKSEP),"Graha IKSEP No.6, Jalan Mutiara Melaka 3, Taman Mutiara Melaka, Batu Berendam, 75350 Melaka",06-3174475,06-3172671,iksep@melaka.gov.my,http://www.iksep.gov.my/,,,,,,,
Institut Kefahaman Islam Malaysia (IKIM),3.167356,101.682259,Institut Kefahaman Islam Malaysia (IKIM),"2, Langgak Tunku, Off Jalan Duta, 50480 Kuala Lumpur",603-6204 6200,603-6201 4189,info@ikim.gov.my,http://www.ikim.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Alor Gajah,2.376752,102.087531,Institut Kemahiran Belia Negara (IKBN) Alor Gajah,Km 34 Jalan Ramuan China Besar 78300 Masjid Tanah Melaka,063851255,063851250,ikbna_gajah@kbs.gov.my,http://www.ikbnag.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Bachok,2.376452,102.087359,Institut Kemahiran Belia Negara (IKBN) Bachok,"Institut Kemahiran Belia Negara Bachok 16300 Bachok, Kelantan Darul Naim",09-7787700,09-7787712,ikbn_bachok@kbs.gov.my,http://www.ikbnbc.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Bandar Penawar,1.573217,104.208193,Institut Kemahiran Belia Negara (IKBN) Bandar Penawar,"Jalan Kejora Utama, Bandar Penawar, 81930 Kota Tinggi, Johor.",07 - 8221567,07 - 8221566,-,http://www.ikbnbp.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Bukit Mertajam,5.399334,100.491982,Institut Kemahiran Belia Negara (IKBN) Bukit Mertajam,"Jalan Berapit , 14000 Bukit Mertajam,Pulau Pinang.",04 5225288,04 5525289,-,http://www.ikbnbm.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Chembong,2.623752,102.06779,Institut Kemahiran Belia Negara (IKBN) Chembong,Institut Kemahiran Belia Negara Chembong 71300 Rembau Negeri Sembilan Darul Khusus,06-6857900,06-6857989,ikbn_chembong@kbs.gov.my,http://www.ikbncb.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Dusun Tua,3.137098,101.836047,Institut Kemahiran Belia Negara (IKBN) Dusun Tua,"Batu 16, Dusun Tua, Hulu Langat, 43100 Selangor Darul Ehsan",03-90217100,03-90211839,ikbn_dsntua@kbs.gov.my,http://www.ikbndt.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Jitra,6.304587,100.42017,Institut Kemahiran Belia Negara (IKBN) Jitra,"Institut Kemahiran Belia Negara Jitra, KM 23,Jalan Changloon, 06000 Jitra,Kedah.",04-9174676,04-9174444,ikbn_jitra@mail.kbs.gov.my,www.ikbnjt.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Kemasik,4.425182,103.439178,Institut Kemahiran Belia Negara (IKBN) Kemasik,"Institut Kemahiran Belia Negara Kemasik, KM-19, Jalan Kemaman Dungun, 24200 Kemasik, Kemaman,Terengganu.",09-8664500,09-8664545,-,http://www.ikbnkemasik.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Kinarut,5.822472,116.038208,Institut Kemahiran Belia Negara (IKBN) Kinarut,"INSTITUT KEMAHIRAN BELIA NEGARA W.D.T 16, JALAN LIMAU-LIMAUAN 89606 KINARUT,PAPAR SABAH.",088-755929,088 755296,ikbn_kinarut@kbs.gov.my,http://www.ikbnkn.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Kuala Langat,2.824478,101.504364,Institut Kemahiran Belia Negara (IKBN) Kuala Langat,"NSTITUT KEMAHIRAN BELIA NEGARA KUALA LANGAT , JALAN SULTAN ABDUL SAMAD , 42700 BANTING , SELANGOR DARUL EHSAN.",03-31803813,03-31801677,portalikbnkl@gmail.com,http://www.ikbnkl.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Kuala Perlis,6.402766,100.141405,Institut Kemahiran Belia Negara (IKBN) Kuala Perlis,"Jalan Bukit Kubu, 02000, Kuala Perlis, Perlis",04 9855985,04 9852434,ikbn_kperlis@kbs.gov.my,http://www.ikbnkp.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Miri,4.460819,114.045944,Institut Kemahiran Belia Negara (IKBN) Miri,"Jalan Permyjaya Utama, Bandar Baru Permyjaya, 98000, Miri, Sarawak",085-660714,085-659546,aduan2ikbnmr@gmail.com,http://www.ikbnmr.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Naka,6.297705,100.598297,Institut Kemahiran Belia Negara (IKBN) Naka,"MUKIM TEKAI, PEKAN NAKA, 06350 KUALA NERANG, KEDAH",04-7993000,04-7851269,-,http://www.ikbnnaka.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Pagoh,2.139128,102.720604,Institut Kemahiran Belia Negara (IKBN) Pagoh,"INSTITUT KEMAHIRAN BELIA NEGARA PAGOH KM 21, JALAN PANCHOR 84500 MUAR JOHOR MALAYSIA",06-9737836,06-9737837,ikbn_pagoh@kbs.gov.my,http://www.ikbnpg.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Pekan,3.471066,103.0969,Institut Kemahiran Belia Negara (IKBN) Pekan,INSTITUT KEMAHIRAN BELIA NEGARA (PEKAN) KM 55 JALAN KUANTAN –SEGAMAT PALOH HINAI 26650 PEKAN PAHANG,09 – 4514888,09-4514999,-,http://www.ikbnpekan.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Peretak,3.55151,101.679535,Institut Kemahiran Belia Negara (IKBN) Peretak,"Institut Kemahiran Belia Negara Peretak 44000 Kuala Kubu Bharu, Selangor Darul Ehsan",03-6099 6000 / 03-6065 1400,03-60641941,portalikbnpt@gmail.com,http://www.ikbnpt.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Sri Iskandar,4.368929,100.943279,Institut Kemahiran Belia Negara (IKBN) Sri Iskandar,"National Youth Skill Institute Seri Iskandar, Ministry of Youth and Sports, 32610 Bandar Seri Iskandar, Perak",05-3711300,05-3711293,ikbn_siskandar@kbs.gov.my,http://www.ikbnsi.gov.my/,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Temerloh,3.501294,102.227936,Institut Kemahiran Belia Negara (IKBN) Temerloh,Institut Kemahiran Belia Negara Temerloh Kampung Bongsu 28500 Lanchang Pahang Darul Makmur Malaysia.,09-2805554,09-2805559,-,http://www.ikbnt.gov.my,,,,,,,
Institut Kemahiran Belia Negara (IKBN) Wakaf Tapai,5.230756,103.195801,Institut Kemahiran Belia Negara (IKBN) Wakaf Tapai,"KM.24 Jalan Kuala Berang, 21040 Marang, Terngganu Darul Iman, Malaysia.",09-6802077/2078,09-6802079,ikbn_wtapai@kbs.gov.my,http://www.ikbnwt.gov.my/,,,,,,,
Institut Kemahiran Tinggi Belia Negara - Sepang,2.806451,101.718502,Institut Kemahiran Tinggi Belia Negara-Sepang,"Institut Kemahiran Tinggi Belia Negara (Kementerian Belia dan Sukan Malaysia) Bandar Baru Salak Tinggi, 43900 Sepang, Selangor Darul Ehsan",03-8706 1720/21/22/23/24,03-8706 1725,helpdesk.iktbnsp@kbs.gov.my,http://www.iktbnsp.gov.my/,,,,,,,
Institut Kemajuan Desa (INFRA),2.964658,101.736241,Institut Kemajuan Desa (INFRA),"Institute for Rural Advancement (INFRA) Lot 2A, Persiaran Institusi 43000 Kajang Selangor Darul Ehsan",03-87352400,03-89265901,webmaster@infra.gov.my,http://www.infra.gov.my/,,,,,,,
Institut Keselamatan dan Kesihataan Pekerjaan Negara (NIOSH),2.930186,101.76775599999996,Institut Keselamatan dan Kesihataan Pekerjaan Negara (NIOSH),"Lot 1, Jalan 15/1, Seksyen 15 ,43650 Bandar Baru Bangi, Selangor",603-8769 2100 / 603-8911 3800,603-8926 2900,am@niosh.com.my,http://www.niosh.com.my/v3i/index.php/en/,,,,,,,
Institut Keselamatan dan Kesihatan Pekerjaan Kebangsaan,2.934413,101.769152,Institut Keselamatan dan Kesihatan Pekerjaan Kebangsaan,"National Institute of Occupational Safety & Health (NIOSH) Lot 1, Jalan 15/1, Section 15 43650 Bandar Baru Bangi Selangor Darul Ehsan",03-8769 2100 / 03-8911 3800,03-8926 2900,general@niosh.com.my,http://www.niosh.com.my/,,,,,,,
Institut Kesihatan Umum,3.130307,101.680588,Institut Kesihatan Umum,"Kementerian Kesihatan Malaysia Blok E1, E6, E7 & E10 Kompleks E, Pusat Pentadbiran Kerajaan Persekutuan, 62590 Putrajaya, Malaysia.",603 8000 8000,603 8888 6187,kkm@moh.gov.my,http://www.moh.gov.my/,,,,,,,
